====== ATMClientTest distribution ======
counter  = 943
minValue = 8
aveValue = 578.399787910923
maxValue = 3061
----------------------------------------.
No.		| Value		| Count	|
----------------------------------------|
0		 0		 4	
1		 10		 53	
2		 20		 15	
3		 30		 8	
4		 40		 6	
5		 50		 5	
6		 60		 3	
7		 70		 9	
8		 80		 11	
9		 90		 5	
10		 100		 11	
11		 110		 9	
12		 120		 6	
13		 130		 9	
14		 140		 11	
15		 150		 12	
16		 160		 5	
17		 170		 8	
18		 180		 6	
19		 190		 7	
20		 200		 12	
21		 210		 11	
22		 220		 10	
23		 230		 11	
24		 240		 6	
25		 250		 9	
26		 260		 11	
27		 270		 6	
28		 280		 4	
29		 290		 8	
30		 300		 9	
31		 310		 8	
32		 320		 8	
33		 330		 6	
34		 340		 10	
35		 350		 9	
36		 360		 10	
37		 370		 11	
38		 380		 10	
39		 390		 7	
40		 400		 11	
41		 410		 11	
42		 420		 7	
43		 430		 17	
44		 440		 7	
45		 450		 11	
46		 460		 13	
47		 470		 13	
48		 480		 8	
49		 490		 11	
50		 500		 10	
51		 510		 9	
52		 520		 7	
53		 530		 8	
54		 540		 10	
55		 550		 13	
56		 560		 9	
57		 570		 9	
58		 580		 8	
59		 590		 14	
60		 600		 3	
61		 610		 7	
62		 620		 8	
63		 630		 10	
64		 640		 11	
65		 650		 3	
66		 660		 4	
67		 670		 10	
68		 680		 5	
69		 690		 11	
70		 700		 7	
71		 710		 3	
72		 720		 4	
73		 730		 4	
74		 740		 7	
75		 750		 4	
76		 760		 8	
77		 770		 2	
78		 780		 3	
79		 790		 6	
80		 800		 4	
81		 810		 5	
82		 820		 6	
83		 830		 6	
84		 840		 9	
85		 850		 7	
86		 860		 9	
87		 870		 2	
88		 880		 5	
89		 890		 3	
90		 900		 4	
91		 910		 4	
92		 920		 4	
93		 930		 2	
94		 940		 3	
95		 950		 4	
96		 960		 3	
97		 970		 7	
98		 980		 1	
99		 990		 2	
101		 1010		 5	
102		 1020		 5	
103		 1030		 7	
104		 1040		 4	
105		 1050		 3	
106		 1060		 1	
107		 1070		 5	
108		 1080		 2	
109		 1090		 3	
110		 1100		 3	
111		 1110		 5	
112		 1120		 1	
113		 1130		 2	
114		 1140		 1	
115		 1150		 1	
116		 1160		 3	
117		 1170		 1	
118		 1180		 6	
119		 1190		 1	
120		 1200		 4	
121		 1210		 3	
122		 1220		 1	
125		 1250		 3	
126		 1260		 1	
128		 1280		 5	
129		 1290		 1	
130		 1300		 2	
131		 1310		 2	
132		 1320		 4	
133		 1330		 2	
137		 1370		 1	
138		 1380		 1	
139		 1390		 3	
143		 1430		 4	
144		 1440		 1	
145		 1450		 2	
146		 1460		 2	
147		 1470		 2	
149		 1490		 1	
150		 1500		 1	
154		 1540		 2	
156		 1560		 1	
160		 1600		 1	
161		 1610		 1	
162		 1620		 1	
164		 1640		 1	
166		 1660		 2	
167		 1670		 1	
168		 1680		 1	
178		 1780		 2	
179		 1790		 1	
181		 1810		 2	
185		 1850		 2	
186		 1860		 1	
190		 1900		 1	
192		 1920		 1	
194		 1940		 1	
199		 1990		 2	
200		 2000		 1	
202		 2020		 1	
204		 2040		 1	
205		 2050		 2	
208		 2080		 1	
210		 2100		 1	
213		 2130		 1	
214		 2140		 1	
217		 2170		 1	
224		 2240		 1	
227		 2270		 1	
235		 2350		 2	
244		 2440		 1	
251		 2510		 1	
262		 2620		 1	
284		 2840		 1	
306		 3060		 1	
----------------------------------------'

