====== HTTPResponse_3_30 distribution ======
counter  = 724
minValue = 6
aveValue = 87.7458563535912
maxValue = 1973
----------------------------------------.
No.		| Value		| Count	|
----------------------------------------|
0		 0		 210	
1		 10		 44	
2		 20		 198	
3		 30		 111	
4		 40		 32	
5		 50		 22	
6		 60		 8	
7		 70		 2	
8		 80		 1	
9		 90		 1	
10		 100		 1	
16		 160		 2	
17		 170		 1	
18		 180		 2	
22		 220		 2	
24		 240		 1	
25		 250		 2	
27		 270		 1	
32		 320		 2	
33		 330		 1	
34		 340		 1	
35		 350		 2	
36		 360		 1	
37		 370		 1	
40		 400		 1	
47		 470		 2	
49		 490		 7	
50		 500		 35	
51		 510		 11	
52		 520		 2	
53		 530		 2	
57		 570		 1	
59		 590		 1	
60		 600		 1	
63		 630		 1	
64		 640		 3	
65		 650		 1	
71		 710		 1	
83		 830		 1	
88		 880		 1	
122		 1220		 1	
124		 1240		 1	
191		 1910		 1	
197		 1970		 1	
----------------------------------------'

